evt,cover_percent,percent
Mesic Balsam Fir-Spruce Forest,11,0
Mesic Balsam Fir-Spruce Forest,12,0
Mesic Balsam Fir-Spruce Forest,13,0
Mesic Balsam Fir-Spruce Forest,14,0
Mesic Balsam Fir-Spruce Forest,15,0
Mesic Balsam Fir-Spruce Forest,16,0
Mesic Balsam Fir-Spruce Forest,17,0
Mesic Balsam Fir-Spruce Forest,18,0
Mesic Balsam Fir-Spruce Forest,19,0
Mesic Balsam Fir-Spruce Forest,20,0
Mesic Balsam Fir-Spruce Forest,21,0
Mesic Balsam Fir-Spruce Forest,22,0
Mesic Balsam Fir-Spruce Forest,23,0
Mesic Balsam Fir-Spruce Forest,24,0
Mesic Balsam Fir-Spruce Forest,25,0
Mesic Balsam Fir-Spruce Forest,26,0
Mesic Balsam Fir-Spruce Forest,27,0
Mesic Balsam Fir-Spruce Forest,28,0
Mesic Balsam Fir-Spruce Forest,29,0
Mesic Balsam Fir-Spruce Forest,30,0
Mesic Balsam Fir-Spruce Forest,31,0
Mesic Balsam Fir-Spruce Forest,32,0
Mesic Balsam Fir-Spruce Forest,33,0
Mesic Balsam Fir-Spruce Forest,34,0
Mesic Balsam Fir-Spruce Forest,35,0
Mesic Balsam Fir-Spruce Forest,36,0
Mesic Balsam Fir-Spruce Forest,37,0
Mesic Balsam Fir-Spruce Forest,38,0
Mesic Balsam Fir-Spruce Forest,39,1
Mesic Balsam Fir-Spruce Forest,40,1
Mesic Balsam Fir-Spruce Forest,41,1
Mesic Balsam Fir-Spruce Forest,42,1
Mesic Balsam Fir-Spruce Forest,43,1
Mesic Balsam Fir-Spruce Forest,44,1
Mesic Balsam Fir-Spruce Forest,45,1
Mesic Balsam Fir-Spruce Forest,46,1
Mesic Balsam Fir-Spruce Forest,47,1
Mesic Balsam Fir-Spruce Forest,48,2
Mesic Balsam Fir-Spruce Forest,49,2
Mesic Balsam Fir-Spruce Forest,50,2
Mesic Balsam Fir-Spruce Forest,51,2
Mesic Balsam Fir-Spruce Forest,52,3
Mesic Balsam Fir-Spruce Forest,53,3
Mesic Balsam Fir-Spruce Forest,54,3
Mesic Balsam Fir-Spruce Forest,55,4
Mesic Balsam Fir-Spruce Forest,56,4
Mesic Balsam Fir-Spruce Forest,57,4
Mesic Balsam Fir-Spruce Forest,58,4
Mesic Balsam Fir-Spruce Forest,59,5
Mesic Balsam Fir-Spruce Forest,60,5
Mesic Balsam Fir-Spruce Forest,61,5
Mesic Balsam Fir-Spruce Forest,62,5
Mesic Balsam Fir-Spruce Forest,63,5
Mesic Balsam Fir-Spruce Forest,64,4
Mesic Balsam Fir-Spruce Forest,65,4
Mesic Balsam Fir-Spruce Forest,66,4
Mesic Balsam Fir-Spruce Forest,67,4
Mesic Balsam Fir-Spruce Forest,68,3
Mesic Balsam Fir-Spruce Forest,69,3
Mesic Balsam Fir-Spruce Forest,70,2
Mesic Balsam Fir-Spruce Forest,71,2
Mesic Balsam Fir-Spruce Forest,72,2
Mesic Balsam Fir-Spruce Forest,73,1
Mesic Balsam Fir-Spruce Forest,74,3
Mesic Balsam Fir-Spruce Forest,75,0
Mesic Balsam Fir-Spruce Forest,76,0
Mesic Balsam Fir-Spruce Forest,77,0
Mesic Balsam Fir-Spruce Forest,78,0
Mesic Balsam Fir-Spruce Forest,79,0
Mesic Balsam Fir-Spruce Forest,80,0
Mesic Balsam Fir-Spruce Forest,81,0
Mesic Balsam Fir-Spruce Forest,82,0
Mesic Balsam Fir-Spruce Forest,83,0
Mesic Balsam Fir-Spruce Forest,84,0
Mesic Balsam Fir-Spruce Forest,85,0
Mesic Balsam Fir-Spruce Forest,86,0
Mesic Balsam Fir-Spruce Forest,87,0
Mesic Balsam Fir-Spruce Forest,88,0
Mesic Balsam Fir-Spruce Forest,89,0
Mesic Balsam Fir-Spruce Forest,90,0
Mesic Balsam Fir-Spruce Forest,91,0
Mesic Balsam Fir-Spruce Forest,92,0
Mesic Balsam Fir-Spruce Forest,93,0
Mesic Balsam Fir-Spruce Forest,94,0
Mesic Balsam Fir-Spruce Forest,95,0
Mesic Balsam Fir-Spruce Forest,96,0
Mesic Balsam Fir-Spruce Forest,97,0
Mesic Balsam Fir-Spruce Forest,98,0
Mesic Balsam Fir-Spruce Forest,99,0
Mesic Balsam Fir-Spruce Forest,100,0
Pine-Hemlock Forest,0,0
Pine-Hemlock Forest,1,0
Pine-Hemlock Forest,2,0
Pine-Hemlock Forest,3,0
Pine-Hemlock Forest,4,0
Pine-Hemlock Forest,5,0
Pine-Hemlock Forest,6,0
Pine-Hemlock Forest,7,0
Pine-Hemlock Forest,8,0
Pine-Hemlock Forest,9,0
Pine-Hemlock Forest,10,0
Pine-Hemlock Forest,11,0
Pine-Hemlock Forest,12,0
Pine-Hemlock Forest,13,0
Pine-Hemlock Forest,14,0
Pine-Hemlock Forest,15,0
Pine-Hemlock Forest,16,0
Pine-Hemlock Forest,17,0
Pine-Hemlock Forest,18,0
Pine-Hemlock Forest,19,0
Pine-Hemlock Forest,20,0
Pine-Hemlock Forest,21,0
Pine-Hemlock Forest,22,0
Pine-Hemlock Forest,23,0
Pine-Hemlock Forest,24,0
Pine-Hemlock Forest,25,0
Pine-Hemlock Forest,26,0
Pine-Hemlock Forest,27,0
Pine-Hemlock Forest,28,0
Pine-Hemlock Forest,29,0
Pine-Hemlock Forest,30,0
Pine-Hemlock Forest,31,0
Pine-Hemlock Forest,32,0
Pine-Hemlock Forest,33,0
Pine-Hemlock Forest,34,0
Pine-Hemlock Forest,35,0
Pine-Hemlock Forest,36,0
Pine-Hemlock Forest,37,0
Pine-Hemlock Forest,38,0
Pine-Hemlock Forest,39,0
Pine-Hemlock Forest,40,1
Pine-Hemlock Forest,41,1
Pine-Hemlock Forest,42,1
Pine-Hemlock Forest,43,1
Pine-Hemlock Forest,44,1
Pine-Hemlock Forest,45,1
Pine-Hemlock Forest,46,1
Pine-Hemlock Forest,47,1
Pine-Hemlock Forest,48,1
Pine-Hemlock Forest,49,1
Pine-Hemlock Forest,50,1
Pine-Hemlock Forest,51,1
Pine-Hemlock Forest,52,1
Pine-Hemlock Forest,53,2
Pine-Hemlock Forest,54,2
Pine-Hemlock Forest,55,2
Pine-Hemlock Forest,56,3
Pine-Hemlock Forest,57,3
Pine-Hemlock Forest,58,3
Pine-Hemlock Forest,59,3
Pine-Hemlock Forest,60,3
Pine-Hemlock Forest,61,4
Pine-Hemlock Forest,62,4
Pine-Hemlock Forest,63,4
Pine-Hemlock Forest,64,4
Pine-Hemlock Forest,65,4
Pine-Hemlock Forest,66,4
Pine-Hemlock Forest,67,5
Pine-Hemlock Forest,68,5
Pine-Hemlock Forest,69,5
Pine-Hemlock Forest,70,4
Pine-Hemlock Forest,71,4
Pine-Hemlock Forest,72,3
Pine-Hemlock Forest,73,3
Pine-Hemlock Forest,74,3
Pine-Hemlock Forest,75,2
Pine-Hemlock Forest,76,2
Pine-Hemlock Forest,77,2
Pine-Hemlock Forest,78,1
Pine-Hemlock Forest,79,2
Pine-Hemlock Forest,80,0
Pine-Hemlock Forest,81,0
Pine-Hemlock Forest,82,0
Pine-Hemlock Forest,83,0
Pine-Hemlock Forest,84,0
Pine-Hemlock Forest,85,0
Pine-Hemlock Forest,86,0
Pine-Hemlock Forest,87,0
Pine-Hemlock Forest,88,0
Pine-Hemlock Forest,89,0
Pine-Hemlock Forest,90,0
Pine-Hemlock Forest,91,0
Pine-Hemlock Forest,92,0
Pine-Hemlock Forest,93,0
Pine-Hemlock Forest,94,0
Pine-Hemlock Forest,95,0
Pine-Hemlock Forest,96,0
Pine-Hemlock Forest,97,0
Pine-Hemlock Forest,98,0
Pine-Hemlock Forest,99,0
Pine-Hemlock Forest,100,0
